NE_STATE,Short name,SITE_NAME,RPT_AREA,RPT_REGION,VBT_MICRO_CLUSTER
Active,01COW015,M_LAP_TNS_PI,JAKARTA,Jabotabek,MC-KEBAYORAN
Active,01COW028,MJBRO_SEHATKUY,JAKARTA,Jabotabek,MC-CEMPAKA KEMAYORAN TANAH ABANG
Active,01COW034,MJBRO_KRONJO,BOTABEK,Jabotabek,MC-KRONJO
Active,01COW036,MJBRO_BMANDIRI,BOTABEK,Jabotabek,MC-NEW CIPUTAT
Active,01JKB001,_MEDIA_INDO,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB002,KALIANYAR,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB004,SUTOPO,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB005,ELCONA,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB006,POLIYAMA,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB007,CITRA,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB008,GARDEN,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB009,PALM_VIEW,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB010,_KAMPUS_EMAS,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB011,PENG_SATELIT,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB012,KALIDERES,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB014,KLP2KBJERUK,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB015,WIDODO,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB016,JL_PANJANG_P,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB017,KLP2PENGMBEN,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB018,MERUYA_SEL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB019,SUMUR_BOR_MT,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB020,PASAR_PAGI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB021,_PURIINDAH_MALL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB023,H_MANGGA2,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB024,HERMAN_KMURN,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB025,_CARRE_PURI,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB026,LINDETEVES,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB027,UNI_BANK,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB029,ARIFIN,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB031,SATELIT,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB032,SETIA_KAWAN,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB033,MENCENG,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB034,KYAITAPA,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB035,DAANMOGOT,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB036,_M_DAAN_MOGOT,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB037,DAAN_JAYA,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB038,DODI_TOMANG,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB039,HASYIM,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB040,RABANA,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB041,PERTAMBURAN,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB042,TJGEDONG_SLPI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB043,_WS_INDOVISION,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB044,ARJUNA_UTARA,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB046,PALMERAH_KMGS,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB047,BATUSARI_KMGS,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB048,KEBON_JERUK,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB049,GREENVILLE,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB050,DH_INTERIOR,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB051,EMAS,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB052,IDOLA_SLIPI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB053,MUHALI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB054,M_PJK_TOMANG,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB055,TAMAN_SURYA,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB056,MANGGA_BESAR,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB057,_RS_GRH_MEDIKA,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB059,_GLODOK_PLZ,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB060,TANAH_SEREAL,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB061,MARDANI,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB063,TELUKGONG,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB065,BUANA_HARAPAN,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB067,LILIS_BLD,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB068,_P_LOKASARI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB069,NILA_KANDI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB070,_PASAR_GLODOK,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB071,PT_RSS,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB072,_PASAR_PAGI,JAKARTA,Jabotabek,MC-TANJUNG PRIOK
Active,01JKB073,RUKO_FINANTO,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB075,RUKO_SAYUTI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB079,KEPA_DURI,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB081,ASSIDIQIYAH,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB082,BOJONG_INDAH,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB083,MERUYA_UTR,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB084,GRNGARDEN_KDY,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB085,JOGLO_KBANGAN,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB086,HERMALYPESING,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB088,MARYAM,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB089,RUKO_TOMANG_ST,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB091,SLIPI_PLAZA,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB092,TJDUREN_UTR,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB094,KAMPUNG_DURI_PL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB095,_TRISAKTI1,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB096,PALMERAH_UTR,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB097,KEMANDORAN,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB099,W_PALMERAH,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB100,_TMN_ANGGREK1,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB103,GREEN_GARDEN,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB105,_WISMA77,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB106,_UNI_BINUS,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB107,DURI_KOSAMBI,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB108,_RS_HARAPANKITA,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB109,KOSAMBIBARU,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB110,_KDOKTRN_USAKTI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB111,KEMBANGAN_UTR,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB112,_MNR_PENINSULA,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB113,TMNKEBUNJERUK,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB114,BUDI,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB115,GARUDA,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB116,WISMA_PRESISI,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB118,KEDOYARAYA,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB120,DANI_CENGKARENG,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB122,TAMBORA_JKB,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB123,_APT_SLIPI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB124,HOTEL_MERCURE,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB125,_INDOSIAR,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB126,,,,
Active,01JKB127,_RCTI,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB128,,,,
Active,01JKB129,_STIE_TRISAKTI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB130,_W_BISNIS,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB132,_CARRE_CENGKR,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB133,GRAHA_KENCANA,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB134,,,,
Active,01JKB135,_LINDETEVES,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB136,_RS_PELNI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB138,_H_JAYAKARTA,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB140,PATRA_TOMANG,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB141,KPG_BAMBAN,BOTABEK,Jabotabek,MC-KARAWACI
Active,01JKB142,KAMAL_BENDA,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB144,PETERNAKAN,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB145,TMNVILA_MRUYA,BOTABEK,Jabotabek,MC-CIPONDOH
Active,01JKB148,_GRAND_SLIPI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB151,RAWA_KBJERUK,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB152,TANGKI_TIMUR,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB154,MIC_KB_JERUK,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB155,_H_B_FASHION,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB156,MIC_JL_KEBAHGAN,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB158,MIC_JL_PNANGSIA,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB160,_H_TWIN_PLAZA,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB161,_RS_DHARMAIS,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB167,PEGADUNGAN_TB,BOTABEK,Jabotabek,MC-KARAWACI
Active,01JKB175,_MNC_GLOBALTV,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB176,_ROYAL_MEDITERANIA_GARDEN_RESIDENCE3,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB179,_WISMA77_TWR2,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB185,_ST_MORITZ_MALL_PARTIAL1,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB186,PERMATA_BUANA_MN,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB187,RAWA_BUAYA_ML,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB188,KOTA_BAMBU_UTARA_IF,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB189,_APT_SEASON_CITY,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB190,PINTUTOLSLIPI_IF,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB195,_MNC_G3TV,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB196,_WISMA_ASIA1,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB197,TENABANGTUBUN_IF,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB198,KAPUKPULO_BL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB199,HERMINA_DAANMOGOT_BL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB200,RPTRASUGRIWA_PL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB201,KRENDANGSELATAN_BL,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB202,PALMERAHBARAT_JK,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB203,BAWANGMERAH_BL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB204,KEDOYASASAK_PL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB205,RUKORAWABOKOR_KN,BOTABEK,Jabotabek,MC-KARAWACI
Active,01JKB206,_ST_MORITZ3,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB208,KEBONJERUK_BARU_BL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB209,PALMERAH_BARAT_PL,JAKARTA,Jabotabek,MC-KEBAYORAN
Active,01JKB210,MADRASAH_RAWABUAYA_PL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB211,PULAU_PUTRI_BL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB212,DAANMOGOT_SWADAYA_BL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB213,KEMANGGISAN_ILIR_ST,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB214,SULAIMAN_PALMERAH_IF,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB215,DURIKOSAMBI_IF,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB216,KOTA_BAMBU_SELATAN_JK,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB217,PEDONGKELAN_CENGKARENG_BL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB218,RAMINKEMBANGAN_PL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB219,ALMUBAROK_JOGLO_IF,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB220,PERDANA_KUSUMA_BL,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB221,HAJI_DAUD_BL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB222,JAMSONS_MALL_BL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB223,MANUNGGAL_MERUYA_BL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
